experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
3292264d-2141-4b94-a7a3-993b58262b6e,2026-01-01,5,1,_fev_26,0.8,20,2,9,3,3,1,5,2,4,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",2,2,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  27.3     51.9  0.1   -2.2  1.0  02~mes  210200_15~geo  31042090~prdt"
533f0bec-1347-425b-9c79-03beeb1900d0,2026-01-01,5,1,_fev_26,0.8,20,2,9,4,5,1,3,0,1,3,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",2,2,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  57.1     69.3 -1.2   -2.3  1.0  08~mes  210200_15~geo  31042090~prdt"
3cd24bc6-f5e4-40f1-8388-636f008aa008,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,10,4,4,5,16,5,3,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  32.1     51.9 -0.2   -2.2  1.0  02~mes  210200_15~geo  31042090~prdt"
ab20e80c-fd93-4d3b-a096-d0b3294c5e42,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,16,13,1,1,14,3,2,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  32.9     28.8 -2.4   -1.6  0.6  03~mes  210200_15~geo  31042090~prdt"
8c7284b4-0f4c-41c7-b58f-3793132e3ad6,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,16,17,2,4,16,10,1,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  42.7     43.4  0.2    0.1  1.0  04~mes  210200_15~geo  31042090~prdt"
06898786-8d9d-4ad7-af73-effa436f17c9,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,16,17,1,1,16,16,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  23.1     25.8 -1.0   -1.5  1.0  05~mes  210200_15~geo  31042090~prdt"
2701fa85-6aca-49e6-8250-4c57cc50bc44,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,11,15,1,1,13,14,1,2,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  53.0     43.9 -0.4    0.0  0.6  06~mes  210200_15~geo  31042090~prdt"
71701897-89cd-4932-9572-92bd9ae2f93a,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,6,12,3,2,14,9,4,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  44.7     46.6 -0.2   -0.3  0.8  07~mes  210200_15~geo  31042090~prdt"
939eb656-8340-4293-9b64-4a5c0e75c699,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,7,14,5,1,15,11,3,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  57.0     69.3 -1.2   -2.3  0.8  08~mes  210200_15~geo  31042090~prdt"
d0e24a0c-c3a0-4862-b72e-20b3f5f3b189,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,11,17,4,1,15,9,3,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  44.3     58.4 -0.3   -1.3  0.6  09~mes  210200_15~geo  31042090~prdt"
2b797249-5a5d-4139-bf34-60d46d6ca382,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,15,13,2,0,12,13,2,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  15.8     19.7 -0.2   -0.8  0.2  10~mes  210200_15~geo  31042090~prdt"
6f26dc8c-6696-4db2-940e-d466c0a38bc9,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,14,15,1,3,10,8,1,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  34.1     36.4 -1.0   -1.3  0.2  11~mes  210200_15~geo  31042090~prdt"
9223df97-77d0-4c6f-98df-c6ae4ec87efb,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,12,17,3,3,7,7,2,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  21.3     15.6 -1.9   -0.5  0.8  12~mes  210200_15~geo  31042090~prdt"
7814f68a-aafd-410d-87d4-8e3eb3e09214,2026-01-01 00:00:00,15,1,_fev_26,0.8,20,2,9,15,13,3,1,10,6,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  25.0     34.8 -0.2   -1.3  0.8  01~mes  210200_15~geo  31042090~prdt"
