max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
144,8,8,13,0.11768674850463867,3cd24bc6-f5e4-40f1-8388-636f008aa008
2584,610,2,2,0.20135068893432617,ab20e80c-fd93-4d3b-a096-d0b3294c5e42
2584,4181,3,8,0.2610664367675781,8c7284b4-0f4c-41c7-b58f-3793132e3ad6
2584,4181,2,2,0.6022288799285889,06898786-8d9d-4ad7-af73-effa436f17c9
233,1597,2,2,0.30005908012390137,2701fa85-6aca-49e6-8250-4c57cc50bc44
21,377,5,3,0.2042098045349121,71701897-89cd-4932-9572-92bd9ae2f93a
34,987,13,2,0.35237598419189453,939eb656-8340-4293-9b64-4a5c0e75c699
233,4181,8,2,0.5685315132141113,d0e24a0c-c3a0-4862-b72e-20b3f5f3b189
1597,610,3,1,0.31974291801452637,2b797249-5a5d-4139-bf34-60d46d6ca382
987,1597,2,5,0.3519411087036133,6f26dc8c-6696-4db2-940e-d466c0a38bc9
377,4181,5,5,0.33356499671936035,9223df97-77d0-4c6f-98df-c6ae4ec87efb
1597,610,5,2,0.23979640007019043,7814f68a-aafd-410d-87d4-8e3eb3e09214
